10.7829 44.0993 19.5842	5.99294 5.0671 35.1878
0.978521 36.2561 21.5716	-14.8285 -14.2183 -16.9511
2.93855 38.2176 21.5589	-13.5829 -13.8938 -22.868
0.97881 40.1773 21.5587	-13.9519 -13.5896 -22.5828
2.9389 42.1367 21.5526	-12.2395 -13.0365 -25.276
0.97873 44.0963 21.5652	-12.1111 -13.822 -19.6441
2.93878 46.0578 21.5652	-11.5129 -14.4208 -20.2822
4.89729 36.2567 21.5587	-13.4542 -14.155 -22.9959
6.85553 38.2181 21.5527	-12.2542 -14.425 -25.5275
4.89757 40.1778 21.5467	-12.1797 -13.1547 -28.0907
6.85602 42.1371 21.5466	-11.192 -13.8309 -28.0209
4.89758 44.0969 21.5526	-10.6589 -13.66 -25.5197
6.85592 46.058 21.5587	-10.7588 -15.2146 -22.8799
8.81471 36.2576 21.5653	-13.478 -15.7214 -19.765
10.7751 38.2193 21.5656	-13.777 -15.6841 -20.0197
8.81482 40.1781 21.5529	-12.7621 -15.065 -25.4745
10.7753 42.1375 21.5591	-13.1763 -15.3704 -22.6487
8.81487 44.0969 21.559	-11.3683 -15.5642 -22.4694
10.7752 46.0581 21.5721	-12.2193 -15.9143 -16.8255
12.7393 0.979789 13.7078	-23.65 -14.459 16.3878
14.7001 2.93898 13.7209	-22.4259 -14.3701 22.6809
12.7405 4.9004 13.721	-21.7048 -13.1835 22.5831
14.7014 6.85769 13.7272	-20.1535 -12.6933 25.1905
12.7417 8.81913 13.7145	-18.6048 -12.4731 19.5175
14.7017 10.7785 13.7145	-16.2126 -13.3232 20.0907
16.6588 0.976876 13.7211	-23.5487 -14.3192 22.5178
18.6178 2.9365 13.7277	-22.2893 -12.5949 24.9137
16.6597 4.89726 13.7335	-21.0015 -12.6958 27.8473
18.6188 6.85534 13.7337	-19.8475 -11.4858 27.4083
16.6606 8.81615 13.7273	-17.9927 -12.4738 25.2025
18.6188 10.7762 13.7214	-15.8903 -12.5224 22.3219
20.5772 0.974944 13.7151	-24.4193 -13.0219 18.7384
22.5379 2.9348 13.7152	-24.0877 -13.1395 18.9982
20.5775 4.89509 13.7279	-22.2291 -11.9585 24.5306
22.5382 6.85342 13.7217	-21.7439 -12.6485 21.6349
20.5781 8.81409 13.7215	-18.7967 -12.3251 21.6098
22.538 10.7743 13.7085	-16.7899 -13.6025 16.0741
12.7398 2.93903 15.6959	12.3846 6.19864 -32.2634
14.6996 0.978154 15.6955	11.0661 7.24616 -31.6199
12.7401 6.86106 15.6988	11.4736 2.76871 -34.2731
14.6996 4.89854 15.7005	11.1469 4.25092 -33.7828
12.7403 10.78 15.6935	10.1271 5.15779 -33.8766
14.7002 8.81989 15.6984	9.33039 3.51704 -34.5043
16.6604 2.93663 15.7	9.5808 7.23955 -33.3384
18.6217 0.976081 15.6974	8.88399 8.69734 -32.8309
16.6609 6.85859 15.7027	8.28664 3.97492 -35.2793
18.6219 4.89659 15.7022	8.94958 6.0989 -35.0519
16.6614 10.7776 15.6983	6.14936 5.98834 -33.8517
18.6229 8.81781 15.7003	6.30725 5.00728 -35.1812
20.5823 2.93481 15.697	11.0631 8.01003 -33.5449
22.5411 0.974139 15.6917	13.3324 8.00793 -31.8681
20.5831 6.85689 15.7	9.24637 4.58571 -35.0935
22.5419 4.89501 15.6973	13.1099 5.48104 -33.136
20.5838 10.7757 15.6954	6.71485 6.52883 -33.8041
22.543 8.81631 15.6952	10.2792 4.52712 -33.5485
12.7439 0.981576 17.6401	23.1658 18.2251 -0.381861
14.7039 2.94242 17.6399	26.5366 20.6177 0.335053
12.7424 4.90074 17.6396	22.5285 18.4764 0.246124
14.7024 6.86021 17.6398	26.489 13.3245 0.662351
12.7407 8.81879 17.6397	22.4437 10.1737 0.346397
14.7008 10.7795 17.6396	26.3589 11.9948 0.191268
16.6644 0.983092 17.6406	25.5281 17.8005 0.458028
18.6229 2.94405 17.6404	21.0171 20.4815 0.782694
16.6628 4.90235 17.6399	25.5412 18.3328 0.85662
18.6215 6.86172 17.64	20.7413 12.5175 0.974429
16.6614 8.82019 17.6398	25.3026 9.7812 0.623207
18.6205 10.7808 17.6397	20.5635 11.1893 0.350771
20.5831 0.983967 17.6412	18.0293 17.4405 0.645878
22.5433 2.94467 17.641	19.4945 20.0701 0.580055
20.5823 4.90385 17.6405	17.7644 17.9441 0.993068
22.5429 6.86304 17.6406	19.0677 12.4254 1.20856
20.5813 8.82158 17.6401	17.481 9.01188 0.925164
22.5421 10.7818 17.6402	19.4026 11.4531 0.899309
12.7395 2.93836 19.5844	7.91902 7.97478 32.9357
14.7001 0.980952 19.5844	5.86507 8.97365 32.1025
12.7378 6.86028 19.5817	10.3377 4.84441 34.2753
14.6986 4.90088 19.5796	8.02251 6.48893 33.5983
12.7367 10.7799 19.5869	10.8743 6.74949 34.2795
14.697 8.8226 19.5821	9.8256 5.9898 34.7005
16.6605 2.94203 19.5796	4.47177 8.04874 32.7237
18.6225 0.984195 19.5817	2.76422 8.17925 31.7452
16.6587 6.86365 19.5774	7.17155 5.39139 35.0169
18.621 4.90404 19.5773	5.01645 5.99385 34.0049
16.6578 10.7832 19.582	7.50046 7.43069 34.4902
18.6195 8.82547 19.5798	6.62532 5.59429 34.9587
20.5821 2.9449 19.5819	4.90986 7.44038 31.8935
22.5414 0.986337 19.5868	6.43859 7.99291 30.3882
20.5805 6.8664 19.5797	7.40841 4.85106 33.777
22.5404 4.9064 19.5818	8.52884 5.83295 31.3344
20.5797 10.7857 19.5847	7.88726 7.40954 33.121
22.5391 8.82776 19.5846	10.284 5.84018 31.9385
12.7368 0.980445 21.5724	-14.0162 -15.231 -17.3133
14.6979 2.94171 21.5596	-16.2111 -14.7965 -22.8634
12.7385 4.9008 21.5594	-18.3555 -13.8062 -23.3567
14.6994 6.8602 21.5532	-19.086 -12.9497 -25.7438
12.7402 8.81942 21.5659	-20.4149 -12.8751 -20.4534
14.7017 10.7811 21.5661	-21.6072 -13.1713 -20.843
16.656 0.980952 21.5593	-13.7253 -16.421 -22.1576
18.6152 2.94158 21.5533	-15.9249 -16.1114 -24.434
16.6576 4.90118 21.5473	-17.4833 -14.6301 -27.8275
18.6165 6.86014 21.5472	-18.9427 -14.8869 -27.512
16.6591 8.82015 21.5533	-19.9512 -14.1127 -25.5466
18.6185 10.7813 21.5595	-21.832 -15.4401 -22.4603
20.5739 0.981333 21.5657	-14.7387 -16.1455 -18.2932
22.5353 2.94215 21.5658	-17.8803 -14.3963 -18.5972
20.5751 4.90106 21.5533	-18.8521 -14.8606 -24.3796
22.5358 6.86011 21.5592	-21.1815 -13.7598 -21.4819
20.5761 8.82004 21.5596	-21.3898 -14.9427 -21.4804
22.5372 10.7812 21.5725	-23.5521 -14.179 -15.4079
12.7412 12.7419 13.7079	-14.9194 -12.7928 17.3036
14.7013 14.7013 13.7208	-13.9651 -13.1276 23.1842
12.7409 16.662 13.721	-14.1216 -12.1443 23.2128
