0.974041 34.2873 15.685	-9.20399 5.07967 2.08251
2.9366 32.3255 15.6944	-1.26832 -4.18751 -1.41376
4.91242 26.453 15.7057	7.45476 15.5429 -6.40208
6.87347 24.5 15.697	-1.29141 9.26711 16.0507
4.90573 30.3741 15.7053	5.99837 5.69741 -13.4174
6.87571 28.4177 15.708	-3.74038 4.67519 -9.5019
4.8974 34.2901 15.6933	-0.359951 -2.4856 -7.332
6.86593 32.3404 15.6977	1.41929 0.55368 -9.86639
8.83761 26.4584 15.6984	-9.82274 0.937316 3.37734
10.7911 24.5062 15.687	-0.771108 -0.493303 11.3133
8.83534 30.3871 15.7028	-3.54707 -4.62938 -0.2019
10.7954 28.4228 15.6998	-0.494708 -6.41769 -2.39095
8.82286 34.3036 15.6893	-2.79303 2.23098 -0.748171
10.793 32.3517 15.6934	1.35981 -14.1952 -0.0850995
0.976768 24.5037 17.6407	11.3933 33.7793 1.21063
2.94072 26.4631 17.641	23.3755 48.2514 8.73232
0.976954 28.4188 17.6382	19.696 46.1694 4.19617
2.9425 30.3792 17.641	17.1586 19.7395 4.58155
0.977636 32.3298 17.6378	5.99288 -7.39184 14.1855
2.94143 34.2869 17.6367	20.0082 6.82231 1.15355
4.90329 24.5042 17.6423	8.23214 24.535 -6.21599
6.86623 26.4615 17.6427	-11.2072 34.9771 -9.17543
4.90453 28.4227 17.6418	15.3078 33.0106 2.54496
6.86426 30.3822 17.6438	3.95843 12.9396 -8.09586
4.90318 32.3336 17.6425	21.3461 -5.42011 0.484829
6.8603 34.293 17.6451	16.7454 13.4778 -6.64015
8.82349 24.499 17.6413	-27.0635 22.3485 -7.89808
10.7854 26.4599 17.641	-12.26 24.8016 -5.60038
8.8292 28.4213 17.6445	-18.041 28.3123 -5.63642
10.7863 30.3846 17.6432	2.23063 6.97428 -7.99724
8.82257 32.3415 17.6468	0.551938 -1.7154 -18.7211
10.7767 34.3053 17.6441	8.39121 7.03661 -20.2354
0.968568 26.4688 19.5914	8.0212 24.9899 -14.8842
2.93283 24.5083 19.59	5.87854 20.4484 -6.73779
0.971863 30.3907 19.5864	19.3136 5.85238 -8.25943
2.92933 28.4248 19.5847	10.5648 24.5645 -3.10192
0.977264 34.3078 19.5938	5.20899 3.76395 -8.39676
2.93391 32.3486 19.5889	8.12134 4.48023 0.330148
4.89133 26.4605 19.5794	5.24138 26.845 0.674428
6.85818 24.4996 19.5866	-6.53793 19.5155 8.22051
4.89235 30.3817 19.583	1.42973 15.5824 4.97955
6.85274 28.4159 19.5794	-5.37164 13.6355 4.43067
4.8971 34.3034 19.5906	4.60375 17.1376 7.76533
6.8567 32.3369 19.5869	0.19987 12.9041 2.01475
8.81658 26.4535 19.5864	-13.6546 17.3838 1.76842
10.7754 24.4932 19.5944	-5.65324 16.8485 -11.7242
8.81568 30.3741 19.5871	-3.0324 16.195 0.936755
10.7734 28.4112 19.5895	-2.98615 20.4542 -3.67779
8.81987 34.2982 19.5945	7.68545 20.6875 9.03278
10.7741 32.3377 19.5979	3.49784 12.0119 3.94462
0.978896 24.5061 21.5809	13.4094 -18.3667 20.2373
2.93712 26.4705 21.5586	9.87333 -19.7612 11.9837
0.983262 28.4337 21.5586	-4.41601 -14.5116 6.70823
2.94235 30.394 21.5529	-20.0514 -18.9106 0.396066
0.98385 32.3531 21.5706	-22.4091 -17.1394 9.97291
2.94786 34.3101 21.5699	-24.6207 -18.8662 15.6365
4.89325 24.5063 21.5555	18.8607 -16.0059 5.03455
6.84928 26.465 21.5484	12.7146 -17.3756 1.8594
4.89439 28.4296 21.5418	-4.03995 -28.3096 1.51884
6.8504 30.3876 21.5437	-11.8457 -23.1494 6.24221
4.90237 32.3514 21.5543	-24.9904 -20.3855 9.92521
6.86271 34.3072 21.5616	-27.504 -19.1526 16.9425
8.80552 24.5064 21.5645	24.6212 -16.6991 5.48382
10.7676 26.4704 21.5652	12.4284 -5.20713 7.54674
8.80603 28.4228 21.5544	9.01301 -13.2321 8.27766
10.7695 30.3738 21.5602	-0.177095 -9.89603 9.98359
8.8108 32.3402 21.5596	-20.6295 -14.7165 12.9044
10.7783 34.2888 21.5835	-33.5558 -15.5665 12.7861
0.98216 36.2666 13.6965	23.9882 -17.9925 -20.785
2.94034 38.2235 13.7195	15.5016 -12.9292 -9.75206
0.973049 40.1812 13.7224	5.48083 -15.414 -9.94993
2.93531 42.1335 13.7289	-4.78156 -6.58009 -3.10452
0.966844 44.0882 13.7085	-11.2349 -2.23559 -15.9688
2.93117 46.0411 13.7075	-17.212 1.26521 -14.6109
4.90125 36.2673 13.7242	16.7653 -6.79841 -4.84734
6.86068 38.2251 13.7292	9.35864 -3.46198 -2.94632
4.90085 40.1803 13.7375	11.8539 -3.74748 2.89767
6.86258 42.1312 13.738	3.53077 -0.543378 0.966807
4.89831 44.0868 13.7262	-13.9005 0.522292 -7.50469
6.86063 46.0399 13.7159	-22.5008 -3.037 -14.2828
