4.83278 18.6541 19.6515	-97.7806 -15.1859 35.7757
6.74723 16.7344 19.5721	109.536 -1.92281 -100.103
4.94355 22.5703 19.6256	126.789 40.4445 -89.4923
6.87974 20.6023 19.5766	-3.13556 48.4142 -15.397
8.80259 14.7457 19.599	-38.4105 1.91079 232.905
10.7366 12.7352 19.554	13.2597 175.841 -22.7396
8.79791 18.6545 19.6081	129.902 74.5151 24.0799
10.754 16.7312 19.5537	88.3146 13.626 44.9301
8.85039 22.587 19.5949	-103.491 129.324 -107.389
10.8001 20.6153 19.6283	155.129 13.8127 -165.652
1.06087 12.6966 21.5656	-94.7214 -21.5411 48.208
2.92375 14.7856 21.5823	175.334 -176.987 7.58235
0.868981 16.7128 21.6138	-106.269 76.1956 -114.484
2.88771 18.5679 21.5773	205.165 -72.0363 69.9494
0.984524 20.6529 21.6698	47.2863 -161.745 -73.0976
2.97949 22.637 21.5316	36.177 16.1852 -115.118
4.87743 12.7964 21.5721	-157.128 -38.7834 -62.7889
6.79043 14.7226 21.52	76.1307 3.63314 46.4424
4.89147 16.6548 21.6454	7.1452 165.178 -50.5544
6.84183 18.6763 21.5899	-47.2919 21.9593 25.4016
4.95144 20.6133 21.6103	-84.6999 -25.1561 -81.0742
6.91061 22.5683 21.5694	2.12407 -31.4887 -142.475
8.80979 12.8453 21.5888	104.29 -69.655 112.193
10.7765 14.7387 21.4851	-89.8444 -1.20204 181.481
8.75001 16.6182 21.5506	-42.4797 5.83547 -137.37
10.7343 18.6107 21.5844	-28.8881 -31.1468 30.1878
8.80423 20.6216 21.5499	108.631 -8.43118 123.545
10.7873 22.5537 21.5752	-87.3915 65.893 107.771
1.02929 24.5747 13.7755	16.6878 -182.49 -110.351
2.95891 26.4946 13.6698	113.48 -41.3641 -25.4041
0.965683 28.4632 13.7328	6.23272 38.0353 -169.484
2.94576 30.4036 13.6451	-45.1659 25.0585 1.78294
0.929059 32.3059 13.607	-40.0565 157.239 46.8362
2.95823 34.2649 13.7093	-240.921 -125.397 -52.9307
4.96814 24.522 13.7169	-49.3315 70.4257 57.7881
6.90971 26.4875 13.7174	-5.59639 17.4488 -6.05588
4.8709 28.4179 13.6823	0.525496 14.3388 -29.3928
6.83259 30.3626 13.7772	-31.3005 -32.4113 -14.6611
4.94889 32.3898 13.6676	37.048 -66.7484 3.99565
6.86477 34.3047 13.734	7.36399 -85.2957 82.1756
8.80193 24.5063 13.7116	48.4338 59.4385 -19.9168
10.7645 26.4159 13.5888	55.0286 -18.2148 -54.7367
8.82359 28.461 13.6729	-17.584 -78.1741 223.502
10.8135 30.398 13.7264	45.6947 22.5325 227.175
8.76103 32.3343 13.7333	104.712 -91.3042 96.0132
10.8091 34.2318 13.7646	-18.672 -4.19205 3.86435
0.970344 26.5814 15.6985	-37.9127 28.1921 72.3563
2.96143 24.5154 15.7614	22.4708 -117.162 97.9905
0.98083 30.4053 15.6585	-184.581 -101.358 142.965
2.94547 28.5267 15.6727	-28.1744 -130.987 -75.7167
0.98934 34.2568 15.6513	-135.372 -109.166 25.9546
2.97278 32.3792 15.6507	23.4934 18.1857 -53.488
4.93414 26.4891 15.6389	34.6585 -68.5134 -34.7376
6.80443 24.4803 15.712	-15.9863 -61.855 122.988
4.85025 30.4273 15.7125	90.0765 -26.1988 45.5284
6.86333 28.4566 15.7192	43.8098 -57.9722 -46.5266
4.9193 34.3263 15.7409	177.611 8.95562 25.8048
6.87381 32.3499 15.731	121.58 -47.8032 15.9511
8.83736 26.4443 15.6941	-44.388 -10.3129 -80.7847
10.7483 24.5098 15.6208	-29.9989 -188.283 -39.6852
8.84049 30.4034 15.7346	-62.7916 -172.891 74.2957
10.782 28.4406 15.657	-124.107 97.363 72.1543
8.87662 34.2743 15.7012	-14.5462 -4.66314 -123.432
10.8461 32.33 15.7436	-73.3535 -29.6424 37.5007
0.99469 24.589 17.6535	-154.206 -168.376 -23.4558
2.97565 26.5407 17.6556	-23.1323 89.0393 1.05251
0.92859 28.4635 17.6786	-0.993629 140.897 205.799
2.90786 30.4376 17.6237	23.7471 53.1647 -20.7117
0.941527 32.3356 17.6114	88.4274 58.3258 76.0014
2.94861 34.2736 17.6478	65.3233 -38.6077 75.9362
4.86113 24.5587 17.6759	-24.0297 28.6769 3.77438
6.85132 26.4607 17.6292	6.972 34.2432 -71.3484
4.87406 28.3997 17.6473	33.9306 -52.1988 -57.0522
6.83513 30.3825 17.6698	105.097 -13.965 14.3618
4.87936 32.3464 17.6703	-24.1699 -111.096 -138.529
6.82544 34.2889 17.6831	51.5852 -76.8928 -48.3356
8.82498 24.4781 17.564	-23.8901 -53.0819 -23.0196
10.7658 26.4598 17.6265	33.3421 -37.2561 -44.1886
8.83697 28.4376 17.6622	-22.6392 -88.6671 -37.9207
10.8182 30.3699 17.6954	113.237 16.497 52.3596
8.84135 32.3746 17.6887	-63.3461 -139.233 -2.95876
10.8936 34.2739 17.6155	-94.7849 -83.6077 28.388
0.923101 26.4757 19.7098	84.4463 -134.092 -2.80815
2.86183 24.5356 19.6178	-86.0449 -122.064 -7.83042
0.985451 30.3728 19.6016	-123.143 16.8078 62.2183
2.95956 28.441 19.6075	-20.7077 113.305 -174.154
0.9718 34.3255 19.5368	-10.2607 -60.5706 -49.0661
2.95109 32.3632 19.6493	-16.1721 162.269 103.176
4.89792 26.5292 19.6555	52.4707 32.4961 -49.8867
6.8613 24.5629 19.594	-21.9918 -97.1035 36.5112
4.89601 30.4066 19.5533	43.5556 46.0309 -52.1317
6.83943 28.4101 19.5838	96.8248 -0.384679 47.0984
4.94709 34.288 19.6455	-82.369 1.31795 -8.51488
6.8617 32.3476 19.6307	38.9318 54.4844 39.0389
8.85552 26.4817 19.5834	63.4282 -50.4701 1.72505
10.8151 24.5026 19.634	72.752 -54.8495 -173.875
8.84486 30.3975 19.601	-31.0209 77.6083 -261.448
10.7837 28.4394 19.634	23.5903 57.9464 38.7764
8.83547 34.2876 19.5991	-112.839 -37.2374 -5.05883
10.7707 32.3102 19.597	48.6901 -45.112 -106.304
0.968742 24.5374 21.7047	-83.2935 -42.4072 51.7211
2.99215 26.4855 21.6372	161.588 -140.697 -46.1684
1.03766 28.4404 21.6053	15.0623 63.9932 88.5627
2.93861 30.3974 21.5685	-73.5872 28.5926 -30.6454
0.999488 32.3837 21.5996	-6.96271 -4.82996 66.0936
2.97524 34.283 21.5392	-74.5421 99.2442 37.9665
4.93284 24.5719 21.6397	-22.1313 -54.5739 10.787
6.85338 26.5276 21.5849	-13.3518 -96.1904 69.8371
4.85658 28.4629 21.5869	27.3452 5.67176 -34.9319
6.86167 30.3531 21.5309	69.0599 43.7024 42.5831
4.90155 32.2968 21.7131	29.2474 -11.2733 79.1661
6.86846 34.2381 21.6228	-31.457 93.1591 91.1563
8.73478 24.5279 21.6417	91.7105 -63.1239 -81.1371
10.7598 26.4598 21.5564	-47.9523 27.326 -9.45663
8.78277 28.4795 21.6036	-97.1379 -33.6221 9.34071
10.8203 30.3741 21.5404	83.1576 -17.3497 139.468
8.82169 32.3709 21.6071	-19.2562 42.8165 -73.5138
10.8224 34.278 21.5792	-101.799 60.682 -23.025
0.95341 36.2777 13.7745	-30.2312 83.9777 212.465
2.99296 38.2124 13.7284	-57.1032 -63.7152 -87.2255
1.04736 40.1563 13.7523	10.1081 73.8412 -1.3942
2.97004 42.1577 13.6556	12.5692 -53.5431 -54.6396
0.930148 44.036 13.7058	21.6381 49.1855 -50.3302
2.90666 46.0021 13.6715	-27.8683 135.322 93.6788
4.93406 36.2195 13.7343	-70.9634 -63.0069 120.883
6.86458 38.1947 13.7627	77.6349 -56.1669 -100.997
4.95571 40.1599 13.7486	-126.46 7.28435 -159.254
6.84185 42.1533 13.6101	-0.29104 126.885 -110.711
